Description,Amount,Date,CreationDate,Account,Expense,Tipo
basic fit,"30,00 €",11 de junio de 2025 9:56 (CEST),11 de junio de 2025 7:56,RegularAccount,Yes,Gym
tapeo nataly,"17,00 €",10 de junio de 2025 1:31 (CEST),9 de junio de 2025 23:31,RegularAccount,Yes,Tapeo/Cerveza
piarda,"13,00 €",9 de junio de 2025 0:51 (CEST),8 de junio de 2025 22:51,RegularAccount,Yes,Tapeo/Cerveza
roco,"14,00 €",8 de junio de 2025 18:37 (CEST),8 de junio de 2025 16:37,RegularAccount,Yes,Social
cena cine,"10,00 €",7 de junio de 2025 22:43 (CEST),7 de junio de 2025 20:43,RegularAccount,Yes,Social
bañadoe,"20,00 €",7 de junio de 2025 21:34 (CEST),7 de junio de 2025 19:34,RegularAccount,Yes,Ropa
bk,"15,00 €",7 de junio de 2025 6:11 (CEST),7 de junio de 2025 4:11,RegularAccount,Yes,Comida
entrada cine,"7,00 €",7 de junio de 2025 6:11 (CEST),7 de junio de 2025 4:11,RegularAccount,Yes,Social
gasolina,"30,00 €",6 de junio de 2025 19:01 (CEST),6 de junio de 2025 17:01,RegularAccount,Yes,Gasolina
sushi,"27,00 €",4 de junio de 2025 1:50 (CEST),3 de junio de 2025 23:50,RegularAccount,Yes,Comida
maletas tenerife,"28,00 €",2 de junio de 2025 13:38 (CEST),2 de junio de 2025 11:38,RegularAccount,Yes,Viajes
aldi,"18,00 €",1 de junio de 2025 22:46 (CEST),31 de mayo de 2025 20:46,RegularAccount,Yes,Comida
aruba y santa rita,"55,00 €",1 de junio de 2025 14:57 (CEST),31 de mayo de 2025 12:57,RegularAccount,Yes,Social
rosario,"5,50 €",1 de junio de 2025 2:05 (CEST),1 de junio de 2025 0:05,RegularAccount,Yes,Comida
nomina ciklum,"1557,00 €",1 de junio de 2025 2:00 (CEST),30 de mayo de 2025 14:01,RegularAccount,No,
8bitpc,"11,00 €",1 de junio de 2025 2:00 (CEST),29 de mayo de 2025 23:25,RegularAccount,Yes,Proyectos
Canarias alojamiento,"127,00 €",27 de mayo de 2025 0:46 (CEST),26 de mayo de 2025 22:46,RegularAccount,Yes,Viajes
vuelos gran canaria,"147,00 €",26 de mayo de 2025 1:10 (CEST),25 de mayo de 2025 23:10,RegularAccount,Yes,Viajes
ensalada de pasta,"5,00 €",24 de mayo de 2025 22:44 (CEST),24 de mayo de 2025 20:44,RegularAccount,Yes,
regalo juanlu,"7,00 €",23 de mayo de 2025 18:28 (CEST),23 de mayo de 2025 16:28,RegularAccount,Yes,
comida ciklum,"18,50 €",23 de mayo de 2025 17:13 (CEST),23 de mayo de 2025 15:13,RegularAccount,Yes,
pollo,"3,45 €",21 de mayo de 2025 20:59 (CEST),21 de mayo de 2025 18:59,RegularAccount,Yes,
crema solar,"5,00 €",21 de mayo de 2025 18:51 (CEST),21 de mayo de 2025 16:51,RegularAccount,Yes,
reembolso protector,"7,00 €",21 de mayo de 2025 15:14 (CEST),21 de mayo de 2025 13:14,RegularAccount,No,
palomitas,"11,50 €",19 de mayo de 2025 1:00 (CEST),18 de mayo de 2025 23:00,RegularAccount,Yes,Comida
cine,"7,00 €",18 de mayo de 2025 15:29 (CEST),18 de mayo de 2025 13:29,RegularAccount,Yes,Social
nomadas,"20,00 €",17 de mayo de 2025 23:49 (CEST),17 de mayo de 2025 21:49,RegularAccount,Yes,Comida
granizada,"3,50 €",17 de mayo de 2025 18:10 (CEST),17 de mayo de 2025 16:10,RegularAccount,Yes,Tapeo/Cerveza
guadalindie,"7,00 €",17 de mayo de 2025 14:47 (CEST),17 de mayo de 2025 12:47,RegularAccount,Yes,Tapeo/Cerveza
gasolima,"30,00 €",16 de mayo de 2025 20:20 (CEST),16 de mayo de 2025 18:20,RegularAccount,Yes,Gasolina
pan,"9,00 €",15 de mayo de 2025 10:11 (CEST),15 de mayo de 2025 8:11,RegularAccount,Yes,
basic fit,"30,00 €",14 de mayo de 2025 11:06 (CEST),14 de mayo de 2025 9:06,RegularAccount,Yes,Subscripciones
aldo,"8,00 €",13 de mayo de 2025 22:02 (CEST),13 de mayo de 2025 20:02,RegularAccount,Yes,Comida
spoty,"3,00 €",13 de mayo de 2025 11:26 (CEST),13 de mayo de 2025 9:26,RegularAccount,Yes,Subscripciones
campero,"10,00 €",11 de mayo de 2025 1:07 (CEST),10 de mayo de 2025 23:07,RegularAccount,Yes,Tapeo/Cerveza
copa ivan,"5,00 €",10 de mayo de 2025 21:03 (CEST),10 de mayo de 2025 19:03,RegularAccount,No,
aruba,"28,00 €",10 de mayo de 2025 17:18 (CEST),10 de mayo de 2025 15:18,RegularAccount,Yes,Social
estudio,"50,00 €",10 de mayo de 2025 17:18 (CEST),10 de mayo de 2025 15:18,RegularAccount,Yes,Social
pull verano,"52,00 €",9 de mayo de 2025 17:20 (CEST),9 de mayo de 2025 15:20,RegularAccount,Yes,Ropa
baterias canon,"22,00 €",9 de mayo de 2025 11:35 (CEST),9 de mayo de 2025 9:35,RegularAccount,Yes,Capricho
guadalindie,"5,00 €",8 de mayo de 2025 23:31 (CEST),8 de mayo de 2025 21:31,RegularAccount,Yes,Social
tapeo piarda,"17,50 €",7 de mayo de 2025 1:09 (CEST),6 de mayo de 2025 23:10,RegularAccount,Yes,Tapeo/Cerveza
lidia bbq,"18,00 €",7 de mayo de 2025 1:09 (CEST),6 de mayo de 2025 23:09,RegularAccount,No,
cerveza,"2,50 €",7 de mayo de 2025 0:43 (CEST),6 de mayo de 2025 22:43,RegularAccount,Yes,Tapeo/Cerveza
cosas peoteicas aldi,"9,10 €",6 de mayo de 2025 20:13 (CEST),6 de mayo de 2025 18:13,RegularAccount,Yes,Gym
proteina,"34,90 €",5 de mayo de 2025 18:40 (CEST),5 de mayo de 2025 16:40,RegularAccount,Yes,Gym
protector pantalla movil,"7,00 €",5 de mayo de 2025 12:58 (CEST),5 de mayo de 2025 10:58,RegularAccount,Yes,Imprevisto
casa rural,"2,88 €",4 de mayo de 2025 16:10 (CEST),4 de mayo de 2025 14:10,RegularAccount,Yes,Viajes
pelao,"15,00 €",1 de mayo de 2025 11:44 (CEST),1 de mayo de 2025 9:44,RegularAccount,Yes,Viajes
ciklum nomina,"1556,00 €",1 de mayo de 2025 2:00 (CEST),8 de mayo de 2025 13:34,RegularAccount,No,Pelado
